Scenario,Round,Type,L2_Norm,Cosine_Sim,Weight
Krum,1,Malicious,671.3872,0.5342014,0.0
Krum,1,Malicious,671.39386,0.5342,0.0
Krum,1,Malicious,671.3954,0.5342113,0.0
Krum,2,Benign,5.0034842,0.15959482,0.0
Krum,2,Benign,5.006027,0.083400995,0.0
Krum,2,Benign,4.994971,0.07630796,0.0
Krum,2,Benign,4.984899,0.08267404,0.0
Krum,2,Benign,4.983731,0.082351394,0.2
Krum,2,Benign,4.9941707,0.15859425,0.0
Krum,2,Malicious,652.5158,0.65608305,0.2
Krum,2,Malicious,652.51685,0.6560775,0.2
Krum,2,Malicious,652.52734,0.6560888,0.2
Krum,2,Malicious,652.52527,0.6560894,0.2
Krum,3,Benign,14.922589,0.54450667,0.0
Krum,3,Benign,15.81418,0.6618135,0.2
Krum,3,Benign,15.830885,0.632342,0.2
Krum,3,Benign,15.816184,0.5744337,0.0
Krum,3,Benign,15.811094,0.6656455,0.2
Krum,3,Benign,15.811327,0.6126956,0.2
Krum,3,Benign,15.808419,0.6051032,0.2
Krum,3,Malicious,719.01746,-0.13956891,0.0
Krum,3,Malicious,719.01154,-0.13956834,0.0
Krum,3,Malicious,719.0222,-0.13957623,0.0
Krum,4,Benign,11.071081,0.39981878,0.0
Krum,4,Benign,8.179388,0.26494357,0.0
Krum,4,Benign,8.054507,0.24621236,0.0
Krum,4,Benign,9.314745,0.27736717,0.0
Krum,4,Benign,7.9039187,0.26045188,0.0
Krum,4,Benign,7.6956396,0.32297963,0.2
Krum,4,Malicious,656.1892,0.41492015,0.2
Krum,4,Malicious,656.1872,0.41492218,0.2
Krum,4,Malicious,656.1906,0.41491973,0.2
Krum,4,Malicious,656.1867,0.41492826,0.2
Krum,5,Benign,15.80705,0.76284224,0.0
Krum,5,Benign,15.811842,0.5935205,0.2
Krum,5,Benign,15.7976055,0.7929983,0.2
Krum,5,Benign,15.800957,0.54463637,0.2
Krum,5,Benign,15.820891,0.5530181,0.2
Krum,5,Benign,15.806881,0.3966175,0.0
Krum,5,Benign,15.815084,0.52096605,0.2
Krum,5,Malicious,805.09326,-0.10250077,0.0
Krum,5,Malicious,805.103,-0.10249062,0.0
Krum,5,Malicious,805.1063,-0.10249893,0.0
Krum,6,Benign,15.826908,0.55293167,0.0
Krum,6,Benign,15.806058,0.58822596,0.2
Krum,6,Benign,15.81874,0.5398004,0.0
Krum,6,Benign,15.795353,0.5126547,0.0
Krum,6,Benign,15.799774,0.5807497,0.0
Krum,6,Benign,15.79318,0.53923243,0.0
Krum,6,Malicious,662.96606,0.2103783,0.2
Krum,6,Malicious,662.97217,0.21039073,0.2
Krum,6,Malicious,662.96716,0.2103706,0.2
Krum,6,Malicious,662.9611,0.21038163,0.2
Krum,7,Benign,15.820774,0.49700043,0.0
Krum,7,Benign,15.819376,0.3740365,0.0
Krum,7,Benign,15.810057,0.42075706,0.0
Krum,7,Benign,15.804439,0.60447276,0.0
Krum,7,Benign,15.802365,0.43393278,0.0
Krum,7,Benign,15.807423,0.4615135,0.2
Krum,7,Malicious,885.8257,-0.019377643,0.2
Krum,7,Malicious,885.82764,-0.019366654,0.2
Krum,7,Malicious,885.83765,-0.019361658,0.2
Krum,7,Malicious,885.8324,-0.01936892,0.2
Krum,8,Benign,15.807863,0.8527837,0.2
Krum,8,Benign,15.808525,0.8532681,0.2
Krum,8,Benign,15.791536,0.85655427,0.2
Krum,8,Benign,15.790375,0.7729312,0.0
Krum,8,Benign,15.817197,0.84859836,0.2
Krum,8,Benign,15.81884,0.85641205,0.2
Krum,8,Benign,15.820639,0.13231978,0.0
Krum,8,Malicious,737.7065,-0.17226608,0.0
Krum,8,Malicious,737.70245,-0.17227238,0.0
Krum,8,Malicious,737.7045,-0.17226647,0.0
Krum,9,Benign,15.814248,0.85091186,0.2
Krum,9,Benign,15.800613,0.7549508,0.0
Krum,9,Benign,15.788192,0.84711003,0.2
Krum,9,Benign,15.829007,0.86103785,0.2
Krum,9,Benign,15.793605,0.8559716,0.2
Krum,9,Benign,15.804859,0.8618028,0.2
Krum,9,Benign,15.809226,0.759106,0.0
Krum,9,Malicious,704.8605,-0.070199385,0.0
Krum,9,Malicious,704.87146,-0.070196286,0.0
Krum,9,Malicious,704.8636,-0.0702065,0.0
Krum,10,Benign,15.809736,0.76154196,0.0
Krum,10,Benign,15.814842,0.85751617,0.2
Krum,10,Benign,15.809626,0.82862747,0.2
Krum,10,Benign,15.802909,0.72525287,0.0
Krum,10,Benign,15.794899,0.7753128,0.2
Krum,10,Benign,15.821086,0.8005489,0.2
Krum,10,Benign,15.811265,0.8408344,0.2
Krum,10,Malicious,778.5497,-0.40864366,0.0
Krum,10,Malicious,778.5498,-0.40864038,0.0
Krum,10,Malicious,778.5499,-0.40863323,0.0
Krum,11,Benign,15.808444,0.70590997,0.0
Krum,11,Benign,15.817647,0.78528726,0.2
Krum,11,Benign,15.791759,0.8297324,0.2
Krum,11,Benign,15.813717,0.8658183,0.2
Krum,11,Benign,15.817854,0.8225105,0.0
Krum,11,Benign,15.811879,0.82989967,0.2
Krum,11,Benign,15.800699,0.81857806,0.2
Krum,11,Malicious,701.7975,-0.13868104,0.0
Krum,11,Malicious,701.7812,-0.13868114,0.0
Krum,11,Malicious,701.7851,-0.1386678,0.0
Krum,12,Benign,15.80494,0.89284325,0.2
Krum,12,Benign,15.81685,0.8712895,0.2
Krum,12,Benign,15.8078165,0.87498397,0.2
Krum,12,Benign,15.808171,0.8272191,0.2
Krum,12,Benign,15.784417,0.6524362,0.0
Krum,12,Benign,15.809325,0.851259,0.2
Krum,12,Benign,15.814998,0.81855434,0.0
Krum,12,Malicious,747.3368,0.035290435,0.0
Krum,12,Malicious,747.3378,0.03527799,0.0
Krum,12,Malicious,747.3346,0.03529281,0.0
Krum,13,Benign,15.798788,0.8779824,0.2
Krum,13,Benign,15.799511,0.7509155,0.0
Krum,13,Benign,15.7950535,0.61460394,0.0
Krum,13,Benign,15.796591,0.87174726,0.2
Krum,13,Benign,15.812186,0.83722234,0.2
Krum,13,Benign,15.8016,0.7514108,0.0
Krum,13,Benign,15.803868,0.82573694,0.2
Krum,13,Benign,15.8031,0.78250825,0.2
Krum,13,Malicious,722.18414,-0.052893285,0.0
Krum,13,Malicious,722.19806,-0.052895963,0.0
Krum,14,Benign,15.80263,0.77606034,0.0
Krum,14,Benign,15.795903,0.71821713,0.2
Krum,14,Benign,15.8153,0.76224047,0.0
Krum,14,Benign,15.800221,0.69742936,0.0
Krum,14,Benign,15.808208,0.6833278,0.0
Krum,14,Benign,15.806373,0.6922809,0.0
Krum,14,Malicious,851.78015,-0.2587194,0.2
Krum,14,Malicious,851.77496,-0.25872615,0.2
Krum,14,Malicious,851.76953,-0.25872815,0.2
Krum,14,Malicious,851.77026,-0.25871944,0.2
Krum,15,Benign,15.798721,0.70578253,0.0
Krum,15,Benign,15.8037195,0.5956854,0.0
Krum,15,Benign,15.815951,0.60194767,0.0
Krum,15,Benign,15.809676,0.6781129,0.0
Krum,15,Benign,15.815022,0.65364623,0.0
Krum,15,Benign,15.816642,0.6753584,0.2
Krum,15,Malicious,696.8979,0.041391246,0.2
Krum,15,Malicious,696.90076,0.041390754,0.2
Krum,15,Malicious,696.90344,0.04137995,0.2
Krum,15,Malicious,696.9023,0.041370187,0.2
Krum,16,Benign,15.804218,0.72299886,0.0
Krum,16,Benign,15.825908,0.8310213,0.2
Krum,16,Benign,15.800751,0.79099137,0.2
Krum,16,Benign,15.796396,0.83691883,0.2
Krum,16,Benign,15.798944,0.4504549,0.0
Krum,16,Benign,15.8136635,0.77185106,0.2
Krum,16,Benign,15.820558,0.80799305,0.2
Krum,16,Malicious,735.2295,-0.34293666,0.0
Krum,16,Malicious,735.228,-0.34294456,0.0
Krum,16,Malicious,735.2325,-0.34293205,0.0
Krum,17,Benign,15.800363,0.8030292,0.0
Krum,17,Benign,15.825566,0.71798563,0.0
Krum,17,Benign,15.811516,0.76064646,0.2
Krum,17,Benign,15.822524,0.7493578,0.0
Krum,17,Benign,15.813121,0.73354614,0.0
Krum,17,Benign,15.8025465,0.8143849,0.0
Krum,17,Malicious,858.1808,-0.3124721,0.2
Krum,17,Malicious,858.1729,-0.31247535,0.2
Krum,17,Malicious,858.1783,-0.31247538,0.2
Krum,17,Malicious,858.1744,-0.31249043,0.2
Krum,18,Benign,15.814073,0.032539107,0.0
Krum,18,Benign,15.801303,0.4565483,0.2
Krum,18,Benign,15.81119,0.23047124,0.2
Krum,18,Benign,15.811595,0.42015037,0.0
Krum,18,Benign,15.796636,0.29626587,0.2
Krum,18,Benign,15.802425,0.28118846,0.2
Krum,18,Benign,15.805189,0.29625788,0.2
Krum,18,Benign,15.810957,0.3213819,0.0
Krum,18,Malicious,711.8914,-0.0944915,0.0
Krum,18,Malicious,711.88904,-0.09450255,0.0
Krum,19,Benign,15.825731,-0.26777345,0.0
Krum,19,Benign,15.813993,-0.2814406,0.0
Krum,19,Benign,15.800046,-0.13276583,0.0
Krum,19,Benign,15.8211355,-0.27285427,0.0
Krum,19,Benign,680.8558,0.9999924,0.2
Krum,19,Benign,680.86035,0.99999225,0.2
Krum,19,Benign,680.86725,0.9999923,0.2
Krum,19,Benign,680.8715,0.9999924,0.2
Krum,19,Benign,680.8597,0.9999924,0.2
Krum,19,Benign,680.8673,0.9999924,0.0
Krum,20,Benign,15.814166,0.8361453,0.0
Krum,20,Benign,15.808459,0.71126735,0.0
Krum,20,Benign,15.824831,0.80706656,0.0
Krum,20,Benign,15.793124,0.7885695,0.0
Krum,20,Benign,15.796351,0.8411653,0.2
Krum,20,Benign,15.806724,0.7474199,0.0
Krum,20,Malicious,894.90717,-0.34231856,0.2
Krum,20,Malicious,894.9071,-0.34233338,0.2
Krum,20,Malicious,894.9085,-0.34233564,0.2
Krum,20,Malicious,894.9078,-0.34233,0.2
Krum,21,Benign,15.794946,0.72938186,0.2
Krum,21,Benign,15.801993,0.7946565,0.2
Krum,21,Benign,15.823159,0.73700166,0.2
Krum,21,Benign,15.807864,0.7920505,0.2
Krum,21,Benign,15.835037,0.795292,0.0
Krum,21,Benign,15.825923,0.62481594,0.0
Krum,21,Benign,15.814359,0.8367317,0.2
Krum,21,Malicious,786.79517,-0.3447784,0.0
Krum,21,Malicious,786.8027,-0.3447749,0.0
Krum,21,Malicious,786.81,-0.34477448,0.0
